decision,time,solved,pendingOrders,stationsWithCap,podsInModel,Ra,R,Pb,Pa,xps,yos,yaos,yrp,sumUs,dops,objective,solveSec
222,2227.02222222258,1,2,1,92,3,7,4,9,6,1,1,2,0,2,-6,0.0059164
223,2230.80000000034,1,95,1,89,1,3,2,87,3,7,1,1,0,1,-249,0.043123
224,2237.11111111142,1,97,1,91,1,6,5,86,6,17,1,1,0,1,-651,0.0500519
225,2247.20000000027,1,97,1,92,0,6,6,86,6,16,1,0,0,0,-640,0.0025501
226,2250.93333333358,1,96,1,89,1,4,3,86,4,9,1,1,0,1,-343,0.0428218
227,2261.02222222243,1,96,1,88,0,3,3,85,3,8,1,0,0,0,-320,0.0037497
228,2267.33333333351,1,97,1,91,0,6,6,85,6,15,1,0,0,0,-600,0.0050005
229,2271.11111111128,1,96,1,89,1,4,3,86,4,11,1,1,0,1,-414,0.0455313
230,2277.42222222236,1,96,1,90,0,5,5,85,5,12,1,0,0,0,-480,0.0040129
231,2281.20000000012,1,94,1,90,1,5,4,86,5,15,1,1,0,1,-564,0.0490734
232,2301.33333333337,1,94,1,89,0,4,4,85,4,12,1,0,0,0,-480,0.0029494
233,2321.46666666661,1,2,1,91,1,5,4,7,4,0,0,0,1,0,1000,0.0019776
234,2331.55555555546,1,3,1,90,1,4,3,27,3,0,0,0,2,0,2000,0.0029911
235,2337.73333333321,1,99,2,95,2,9,7,88,9,22,3,2,0,2,-828,0.3081181
236,2347.82222222206,1,2,1,93,1,6,5,7,5,0,0,0,1,0,1000,0.0029997
237,2351.68888888871,1,95,2,95,1,8,7,88,8,21,2,1,0,1,-815,0.1185689
238,2357.9111111109,1,2,1,92,1,5,4,7,4,0,0,0,1,0,1000,0.0039661
239,2361.51111111088,1,2,1,92,1,5,4,7,4,0,0,0,1,0,1000,0.0029952
240,2361.77777777755,1,95,2,96,1,9,8,88,9,23,2,1,0,1,-890,0.1370612
241,2371.8666666664,1,2,1,92,1,5,4,7,4,0,0,0,1,0,1000,0.003003
242,2387.15555555522,1,2,1,93,1,5,4,7,4,0,0,0,1,0,1000,0.0024098
243,2408.17777777735,1,99,2,98,2,10,8,90,10,29,2,2,0,2,-1115,0.4511042
244,2412.08888888844,1,2,1,94,0,5,5,7,5,0,0,0,1,0,1000,0.0019995
245,2418.2666666662,1,100,2,97,0,9,9,88,9,25,2,0,0,0,-1000,0.0057128
246,2428.35555555504,1,2,1,92,1,4,3,7,3,0,0,0,1,0,1000,0.0029657
247,2448.48888888829,1,98,1,95,3,6,3,92,6,24,2,3,0,3,-886,0.1121791
248,2472.39999999929,1,2,1,92,0,4,4,7,4,0,0,0,1,0,1000,0.0019432
249,2478.66666666593,1,99,2,98,0,10,10,88,10,27,2,0,0,0,-1080,0.0070001
250,2482.48888888814,1,2,1,92,0,4,4,7,4,0,0,0,1,0,1000,0.0039689
251,2483.51111111036,1,2,1,92,0,4,4,7,4,0,0,0,1,0,1000,0.0040001
252,2488.75555555478,1,99,2,98,0,10,10,88,10,25,2,0,0,0,-1000,0.0072701
253,2512.66666666579,1,2,1,92,0,4,4,7,4,0,0,0,1,0,1000,0.0039703
254,2528.97777777683,1,100,2,97,1,9,8,89,9,29,2,1,0,1,-1114,0.1410801
255,2532.79999999903,1,3,1,92,0,4,4,29,4,0,0,0,1,0,1000,0.0030006
256,2549.11111111007,1,100,2,97,1,9,8,89,9,28,2,1,0,1,-1086,0.1125608
257,2552.93333333228,1,3,1,93,0,4,4,30,4,0,0,0,1,0,1000,0.0029771
258,2554.26666666561,1,3,1,92,0,4,4,29,4,0,0,0,1,0,1000,0.0019701
259,2559.19999999892,1,98,2,97,1,9,8,89,9,28,2,1,0,1,-1096,0.1739149
260,2569.28888888777,1,2,1,95,1,7,6,7,6,0,0,0,1,0,1000,0.0035592
