decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits
72,660.622222222247,1,86,1,88,2,5,10.2932235339507,18.0582869016678,0.0997008973080758,0.0102932235339506,14,1,5,1,0,1,-57.139259210942,0.1028932,0,8.23457882716052,1,0,17
73,671.600000000033,1,86,1,88,3,5,10.3467730488327,18.0176565160707,0.0993117010816126,0.0103467730488327,28,1,10,1,1,1,-69.3873060788271,0.1185793,0,8.16425060884452,1,0,28
74,680.666666666707,1,86,1,87,2,5,10.3286516581942,17.8563130362001,0.0976076555023923,0.0103286516581942,20,2,8,1,1,4,-50.9021194303133,0.1255892,0,8.16684084601398,2,2,16
75,700.711111111167,1,86,1,87,3,4,10.5821626083215,18.3424151877573,0.0976525821596244,0.0105821626083215,23,2,10,1,1,4,-62.3706124842375,0.0919084,0,8.27477376891307,2,2,23
76,711.644444444509,1,86,1,86,3,3,10.6341483228512,18.4790118397086,0.0974264705882353,0.0106341483228512,27,2,12,1,1,4,-61.4948274873935,0.0950615,0,8.28838031045754,2,2,23
77,720.755555555628,1,86,1,85,4,2,10.5592978395062,18.3936155913979,0.0968609865470852,0.0105592978395062,21,2,10,1,0,3,-83.3355170535533,0.052457,0,8.3241180048662,3,0,28
78,751.688888888986,1,89,1,89,4,2,10.7630602904041,18.7926449514992,0.096830985915493,0.0107630602904041,26,2,11,1,0,2,-83.5501407843282,0.0604313,0,8.2217821662809,2,0,32
79,780.80000000012,1,90,1,91,3,4,10.8326981371253,18.9572217399692,0.0963855421686747,0.0108326981371253,17,2,10,1,0,3,-89.0470657555642,0.0628279,0,8.14269927085925,3,0,23
80,781.733333333454,1,89,1,91,3,4,10.6610137129089,18.6977778964863,0.0966921119592875,0.0106610137129089,26,2,12,1,1,4,-89.8944565487776,0.0615798,0,8.10237042181074,3,1,29
81,791.777777777907,1,89,1,90,4,3,10.6940644622712,18.7956284488403,0.0962655601659751,0.0106940644622712,24,1,11,1,0,2,-87.605129931408,0.056239,0,8.16125972120697,2,0,31
82,800.84444444458,1,89,1,90,3,3,10.6763888888889,18.6438432835821,0.0951993490642799,0.0106763888888889,14,1,9,1,0,2,-73.0822422222498,0.0634149,0,8.16429738562093,2,0,20
83,810.888888889033,1,89,1,90,3,3,10.7811871926659,18.9877625184266,0.0949316170555109,0.0107811871926659,13,1,8,1,0,1,-62.8868237827092,0.0624388,0,8.20761347570697,1,0,18
84,850.933333333509,1,91,1,89,3,3,11.4563558849467,20.0486227986567,0.0947452229299363,0.0114563558849467,13,2,7,1,0,4,-99.7993828859166,0.0674804,0,8.3638426399304,4,0,20
85,851.822222222399,1,90,1,89,3,3,11.2790753813387,19.7792481324925,0.0953506698187549,0.0112790753813387,18,2,7,1,0,2,-79.2049795105811,0.0955375,0,8.32175683623158,2,0,25
86,860.977777777962,1,90,1,92,3,4,11.2594477692463,19.7844582231042,0.0955710955710956,0.0112594477692463,17,1,10,1,1,1,-60.6832172292945,0.0709961,0,8.39340651889268,1,0,16
87,861.866666666851,1,89,1,92,3,4,11.1923163082438,19.8263888888891,0.0950920245398773,0.0111923163082438,20,1,8,1,1,2,-73.1811612350027,0.0806024,0,8.3605254350737,2,0,22
88,871.911111111304,1,89,1,92,3,4,11.272,19.8450704225352,0.0944108761329305,0.011272,21,3,7,1,1,3,-61.0920184594698,0.0942057,0,8.38690476190476,2,1,20
89,901.022222222438,1,91,1,91,3,3,11.389060360002,20.2472184177813,0.0951672862453532,0.011389060360002,16,3,9,1,1,3,-54.5272188890369,0.0690107,0,8.42658801202458,2,1,15
90,911.06666666689,1,91,1,88,3,2,11.3532170624824,20.3735813039067,0.0962527553269655,0.0113532170624824,13,1,8,1,0,2,-75.5873270749232,0.0947925,0,8.49869391534394,2,0,21
91,911.95555555578,1,89,1,88,4,2,11.2723672196502,20.1074658512679,0.0960698689956332,0.0112723672196502,18,2,6,1,0,4,-69.6828552832738,0.0632466,0,8.45427541473766,4,0,26
92,931.111111111351,1,90,1,89,3,4,11.4164416344205,20.3973757201647,0.0962643678160919,0.0114164416344205,19,2,13,1,1,3,-66.0563216575415,0.098479,0,8.54638647492934,2,1,19
93,942.000000000248,1,89,1,88,3,3,11.4882160039943,20.5578602176739,0.0963855421686747,0.0114882160039943,24,2,15,1,1,4,-82.8507284885388,0.1007805,0,8.58460097001769,3,1,22
94,951.155555555811,1,90,1,88,4,2,11.5457299494543,20.6923471821389,0.0961672473867596,0.0115457299494543,18,1,13,1,0,1,-83.7108098959979,0.1036003,0,8.70661602745736,1,0,30
95,952.044444444701,1,88,1,88,4,2,11.4723221422862,20.4442663817664,0.0956641431520991,0.0114723221422862,27,1,19,1,1,2,-98.0115501599892,0.0560063,0,8.66659118357489,2,0,34
96,962.088888889153,1,88,1,88,4,2,11.5643610835538,20.4938044518676,0.0945945945945946,0.0115643610835538,26,2,18,1,1,4,-87.8792623310025,0.0562292,0,8.70435780482547,4,0,32
97,981.200000000279,1,90,1,89,3,2,11.6567701541036,20.690767023534,0.0942895086321381,0.0116567701541036,20,1,15,1,1,3,-93.852520412745,0.0780305,0,8.75799662371808,3,0,25
98,1001.24444444474,1,90,1,90,3,3,11.7622377622378,20.7654320987654,0.0937090432503277,0.0117622377622378,30,1,21,1,2,2,-83.8640350113813,0.0672078,0,8.71502590673575,2,0,22
99,1021.2888888892,1,91,1,90,3,3,11.6805555555556,20.5121951219512,0.0925449871465296,0.0116805555555556,29,1,20,1,2,1,-70.0775703283957,0.0845111,0,8.53807106598985,1,0,20
100,1031.33333333365,1,91,1,89,3,3,11.6,20.2650602409639,0.0914826498422713,0.0116,29,2,19,1,2,3,-60.0701902460499,0.0772657,0,8.45226130653266,2,1,19
101,1042.13333333366,1,90,1,87,3,2,11.5350983927522,20.1864221873164,0.0910780669144981,0.0115350983927522,21,1,12,1,0,2,-89.7691310223387,0.0856501,0,8.39435378086425,2,0,33
102,1052.17777777811,1,90,1,88,3,3,11.6300733210426,20.2500100178154,0.090519877675841,0.0116300733210426,20,2,11,1,0,3,-80.8248818362089,0.0705064,0,8.43750417408974,3,0,31
103,1081.37777777814,1,92,1,87,4,3,11.8028864454733,20.5864298467557,0.0906344410876133,0.0118028864454733,27,2,19,1,1,2,-91.5446210524452,0.0730061,0,8.47097113311478,2,0,30
104,1101.4222222226,1,93,1,86,4,3,11.9340476516814,20.850290150064,0.0903686087990487,0.0119340476516814,25,2,19,1,1,2,-90.4627199226023,0.0774173,0,8.51631569509656,2,0,28
105,1102.2222222226,1,91,1,86,2,3,11.7969012353704,20.6445771618982,0.0902167545401289,0.0117969012353704,17,1,11,1,0,1,-76.5959519248001,0.095034,0,8.48935883293009,1,0,25
106,1111.46666666705,1,92,1,88,3,4,11.8848747013143,20.6983772888058,0.089907192575406,0.0118848747013143,23,1,18,1,1,3,-100.467049747729,0.0755266,0,8.56816548234285,3,0,26
107,1112.26666666705,1,90,1,88,2,4,11.8196508240345,20.7175902084201,0.0892959358900973,0.0118196508240345,17,1,10,1,0,1,-74.6225931463603,0.1087265,0,8.53641448402495,1,0,24
108,1121.5111111115,1,91,1,88,3,5,11.9733212923646,20.8867938100138,0.0890022675736961,0.0119733212923646,22,1,17,1,1,2,-89.3317726681644,0.0780584,0,8.66272554332371,2,0,23
109,1132.31111111151,1,91,1,88,2,5,12.0202016184169,20.870240172636,0.0884658454647256,0.0120202016184169,21,2,10,1,1,2,-70.7555834677885,0.0854331,0,8.63269025322672,1,1,23
110,1142.35555555596,1,91,1,86,3,4,12.034998046875,20.9304313858696,0.0885445489762036,0.0120349980468751,25,2,12,1,1,2,-70.9200990538157,0.0975185,0,8.67387246621625,1,1,26
111,1151.55555555597,1,91,1,85,3,3,12.0828799678022,21.0475973632683,0.0884279475982533,0.0120828799678022,22,1,16,1,1,2,-88.0657255610041,0.0676255,0,8.77769755508499,2,0,23
112,1162.40000000042,1,91,1,86,4,3,12.1656952965236,21.0958333333335,0.0879180151024811,0.0121656952965236,24,2,11,1,0,5,-87.5659335607205,0.0734873,0,8.77437315634225,5,0,35
113,1171.60000000043,1,91,1,86,3,3,12.1794696969698,21.1538157894739,0.0878594249201278,0.0121794696969698,21,1,15,1,1,2,-67.7791377558083,0.0795841,0,8.85291850220272,2,0,20
114,1172.44444444488,1,90,1,86,4,3,12.1282583575042,20.9717800765177,0.0874144286466561,0.0121282583575042,22,1,10,1,0,3,-71.899429037729,0.0925139,0,8.83022319011271,3,0,30
115,1191.64444444489,1,91,1,86,2,3,12.3924349218231,21.5576732494214,0.0869338885996877,0.0123924349218231,18,1,14,1,1,3,-90.5420688022444,0.0984698,0,8.95903303872059,3,0,17
116,1201.68888888934,1,91,1,88,2,5,12.3865792410714,21.4530444587629,0.0866425992779783,0.0123865792410714,17,1,13,1,1,2,-78.2028455396659,0.0759748,0,8.93109576180259,2,0,14
117,1202.48888888934,1,90,1,88,3,5,12.3203402366864,21.2463010204082,0.08640081799591,0.0123203402366864,19,1,9,1,0,2,-85.2336857863972,0.0738597,0,8.89802350427352,2,0,24
118,1222.5333333338,1,91,1,88,3,5,12.4145343137255,21.3178872053872,0.0860759493670886,0.0124145343137255,29,1,16,1,1,2,-95.9372594590295,0.0828933,0,8.86752450980394,2,0,22
119,1262.57777777828,1,93,1,89,3,5,12.5204678362573,21.41,0.0853293413173653,0.0125204678362573,28,1,15,1,1,2,-92.7844379866711,0.0899999,0,8.70325203252033,2,0,20
120,1271.73333333384,1,93,1,89,2,5,12.4476744186047,21.1980198019802,0.0846456692913386,0.0124476744186047,24,2,17,1,2,2,-70.0075112788975,0.106727,0,8.66801619433198,1,1,8
121,1282.62222222274,1,93,1,88,3,4,12.3735594712289,21.1078367450375,0.0846303501945525,0.0123735594712289,16,1,6,1,0,2,-75.3696362651177,0.0993495,0,8.61199739197531,2,0,18
122,1291.7777777783,1,94,1,89,3,4,12.36,21,0.0844594594594595,0.01236,22,2,16,1,1,3,-80.2401881081081,0.0768835,0,8.61752988047809,3,0,18
123,1302.6666666672,1,94,1,89,3,4,12.368144682465,21.0496308538106,0.0845272206303725,0.012368144682465,14,1,5,1,0,2,-71.3878556004804,0.0934905,0,8.61874649132401,2,0,16
124,1311.82222222276,1,93,1,89,2,5,12.386848860799,20.9986580687831,0.0844402277039848,0.012386848860799,18,1,15,1,1,2,-80.3082554696152,0.0746693,0,8.64650626361657,2,0,14
