decision,time,botID,podNull,podID,inUsedPodsValues,inBotToPodKey,currentTaskType,destWaypointNull,isRa,podJustRegisteredCount
18,172.977777777795,11,True,-1,False,False,RestTask,True,True,-1
18,172.977777777795,3,False,46,True,False,ExtractTask,True,False,2
18,172.977777777795,5,False,58,True,False,ExtractTask,True,False,3
18,172.977777777795,4,True,-1,False,False,RestTask,True,True,-1
18,172.977777777795,12,False,27,True,False,ExtractTask,True,False,2
18,172.977777777795,13,True,-1,False,False,RestTask,True,True,-1
18,172.977777777795,14,True,-1,False,False,RestTask,True,True,-1
18,172.977777777795,7,True,-1,False,False,RestTask,True,True,-1
19,176.800000000017,1,False,31,True,False,ExtractTask,True,False,3
19,176.800000000017,10,True,-1,False,False,RestTask,False,True,-1
19,176.800000000017,11,True,-1,False,False,RestTask,True,True,-1
19,176.800000000017,3,False,46,True,False,ExtractTask,True,False,2
19,176.800000000017,5,False,58,True,False,ExtractTask,True,False,3
19,176.800000000017,4,True,-1,False,False,RestTask,True,True,-1
19,176.800000000017,12,False,27,True,False,ExtractTask,True,False,2
19,176.800000000017,13,True,-1,False,False,RestTask,True,True,-1
19,176.800000000017,14,True,-1,False,False,RestTask,True,True,-1
19,176.800000000017,7,True,-1,False,False,RestTask,True,True,-1
20,183.022222222241,1,False,31,True,False,ExtractTask,True,False,3
20,183.022222222241,10,True,-1,False,False,RestTask,True,True,-1
20,183.022222222241,11,True,-1,False,False,RestTask,True,True,-1
20,183.022222222241,3,False,46,True,False,ExtractTask,True,False,2
20,183.022222222241,5,False,58,True,False,ExtractTask,True,False,3
20,183.022222222241,4,True,-1,False,False,RestTask,True,True,-1
20,183.022222222241,12,False,27,True,False,ExtractTask,True,False,2
20,183.022222222241,13,True,-1,False,False,RestTask,True,True,-1
20,183.022222222241,14,True,-1,False,False,RestTask,True,True,-1
20,183.022222222241,7,True,-1,False,False,RestTask,True,True,-1
21,193.066666666687,1,False,31,True,False,ExtractTask,True,False,3
21,193.066666666687,10,True,-1,False,False,RestTask,True,True,-1
21,193.066666666687,11,True,-1,False,False,RestTask,True,True,-1
21,193.066666666687,3,False,46,True,False,ExtractTask,True,False,2
21,193.066666666687,5,False,58,True,False,ExtractTask,True,False,3
21,193.066666666687,4,True,-1,False,False,RestTask,True,True,-1
21,193.066666666687,12,False,27,True,False,ExtractTask,True,False,2
21,193.066666666687,13,True,-1,False,False,RestTask,True,True,-1
21,193.066666666687,14,True,-1,False,False,RestTask,True,True,-1
21,193.066666666687,7,True,-1,False,False,RestTask,True,True,-1
22,196.844444444465,1,False,31,True,False,ExtractTask,True,False,3
22,196.844444444465,10,True,-1,False,False,RestTask,True,True,-1
22,196.844444444465,11,True,-1,False,False,RestTask,True,True,-1
22,196.844444444465,3,False,46,True,False,ExtractTask,True,False,2
22,196.844444444465,5,False,58,True,False,ExtractTask,True,False,3
22,196.844444444465,4,True,-1,False,False,RestTask,True,True,-1
22,196.844444444465,12,False,27,True,False,ExtractTask,True,False,2
