decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits,splitsDeferred,splitsCommitted
43,340.044444444434,1,83,1,88,1,5,8.1633327346743,13.1520360725308,0.134703196347032,0.0081633327346743,23,1,14,1,2,1,-42.7846496320914,0.1275533,0,7.63666610663079,1,0,6,0,0
44,349.333333333318,1,82,1,88,3,6,8.51444597435077,13.7177185142318,0.130151843817787,0.00851444597435077,30,2,16,1,2,4,-54.590247205004,0.1050365,0,7.83869629384674,4,0,19,1,0
45,357.155555555536,1,83,1,88,3,6,8.90596264367798,14.3484953703701,0.126272912423625,0.00890596264367798,30,2,16,1,2,4,-56.8617305446941,0.1285127,0,7.94685897435882,4,0,19,1,0
46,360.177777777757,1,83,2,88,4,6,8.90240178384591,14.5900473679697,0.122840690978887,0.00890240178384591,35,3,20,1,2,6,-86.3790738369093,0.5382686,0,7.95820765525619,6,0,21,1,1
47,368.666666666642,1,84,1,89,3,6,9.33749182621871,15.3031116040807,0.120503597122302,0.00933749182621871,41,2,21,1,3,4,-58.7798979061568,0.1820624,0,8.22256742905827,4,0,17,1,0
48,369.466666666642,1,84,1,89,3,6,9.36764098137673,15.3525227194785,0.115577889447236,0.00936764098137673,29,4,16,2,2,6,-86.1408899840391,0.1425274,0,8.24911668509294,6,0,17,2,0
49,370.266666666641,1,84,2,89,4,6,9.08615215796384,14.9798724766431,0.116613418530351,0.00908615215796385,46,6,27,3,3,8,-125.536497995955,0.2246039,0,8.15081296523227,7,1,19,2,0
50,377.199999999971,1,83,1,87,3,5,9.44987546802261,15.5795244202535,0.117559523809524,0.00944987546802261,22,4,12,2,1,6,-84.3270761670847,0.1135255,0,8.35423773259969,6,0,17,2,0
51,380.177777777748,1,83,1,87,3,5,9.51765104438526,15.6912625326352,0.119596541786744,0.00951765104438526,28,4,16,2,2,6,-86.1016010616677,0.1235263,0,8.2939530529643,6,0,17,2,0
52,380.355555555525,1,83,2,87,5,5,9.52021321056546,15.6954866444458,0.120498614958449,0.00952021321056546,44,6,25,2,2,9,-151.282402534417,0.1630381,0,8.29618579777847,9,0,40,3,0
53,387.244444444411,1,83,2,87,5,5,9.003493174264,15.4007120086095,0.121409921671018,0.009003493174264,44,6,25,2,2,9,-153.198649040587,0.1615144,0,8.24263459615718,9,0,40,1,2
54,389.599999999965,1,82,2,87,5,5,8.89488221333708,15.0528775918012,0.122222222222222,0.00889488221333708,40,3,24,2,2,5,-107.690967228802,0.0954858,0,8.26848205746827,5,0,33,1,0
55,390.444444444409,1,81,1,87,2,5,8.77477986226275,14.6977562692901,0.12,0.00877477986226275,25,3,13,2,1,4,-90.4883987463096,0.0630036,0,8.16542014960561,4,0,25,1,0
56,391.688888888853,1,81,1,87,2,5,8.81385986732999,14.7632152777777,0.12,0.00881385986732999,24,2,12,1,1,2,-65.2540299775094,0.0595464,0,8.0894330289193,2,0,23,1,0
57,400.533333333293,1,81,1,87,2,5,8.88324959150322,14.7331944444444,0.119021134593993,0.00888324959150322,24,3,12,2,1,4,-87.9581839989978,0.0725786,0,8.16298611111107,4,0,23,1,0
58,403.244444444403,1,81,1,87,2,5,8.9864337939265,14.9043292191952,0.119176598049837,0.0089864337939265,23,2,11,1,1,2,-63.2957669447461,0.0660064,0,8.14769997316002,2,0,21,1,0
59,409.733333333289,1,81,2,88,5,5,8.83104460093889,14.5814922480619,0.118393234672304,0.00883104460093889,38,3,21,2,2,4,-98.2533264090839,0.0915093,0,8.36005555555548,4,0,26,0,2
60,410.622222222177,1,79,1,85,2,5,8.72690972222214,14.2803977272726,0.116869918699187,0.00872690972222214,21,1,10,1,1,2,-41.5354428704334,0.0620069,0,8.26759868421044,2,0,19,0,0
61,429.866666666612,1,80,1,87,3,5,8.86301369863014,14.3777777777778,0.115422885572139,0.00886301369863014,15,1,9,1,1,2,-28.8073975702297,0.1025177,0,8.18987341772152,2,0,4,0,1
62,430.755555555501,1,79,1,87,2,5,8.74324324324324,14.3777777777778,0.114705882352941,0.00874324324324324,20,1,9,1,1,2,-37.7683993195452,0.0705159,0,8.0875,2,0,17,0,1
63,460.933333333264,1,81,1,91,1,7,9.32412264409713,15.4050721945953,0.113461538461538,0.00932412264409713,30,2,18,1,2,4,-48.7349047798303,0.1710485,0,8.23992233664398,2,2,14,0,0
64,481.066666666588,1,81,1,90,2,6,9.48490259740257,15.5390957446808,0.11214953271028,0.00948490259740257,28,1,17,1,1,1,-73.1990142852992,0.0995102,0,8.11486111111109,1,0,28,0,0
65,500.222222222134,1,82,1,90,2,6,9.61457423235201,15.9561019175203,0.110200364298725,0.00961457423235201,7,1,3,0,1,1,-19.5278577014601,0.3095622,0,8.06383645294039,1,0,1,0,1
66,501.199999999911,1,82,1,90,2,6,9.61538461538461,15.9574468085106,0.110407239819005,0.00961538461538461,31,3,18,1,2,4,-78.5179884619087,0.0852617,0,7.97872340425532,2,2,28,1,0
67,506.888888888797,1,83,1,92,2,6,9.63338675213673,15.9873226950354,0.110035211267606,0.00963338675213673,31,3,18,1,2,4,-78.5122087162612,0.1275443,0,7.90951754385963,2,2,28,1,0
68,511.288888888795,1,83,1,91,2,6,9.50505782214498,15.8417630369083,0.10968294772922,0.00950505782214497,31,5,18,2,2,6,-111.353816751343,0.1580265,0,7.92088151845415,3,3,28,1,0
69,518.444444444356,1,83,1,90,3,5,9.65266059027779,16.087767650463,0.1110183639399,0.00965266059027779,29,3,17,1,1,4,-99.4450639897622,0.0655093,0,7.96095718785797,4,0,30,1,0
70,520.311111111024,1,85,2,91,5,5,9.56697787869178,16.1442751702924,0.110839445802771,0.00956697787869178,31,4,17,1,1,5,-118.525132331154,0.1510418,0,7.98891967189726,5,0,33,1,1
