kind,visit_id,leg_index,source_scope,bot_id,station_queue_wp_id,from_id,to_id,pod_id,station_id,loaded,orientation_bucket,from_x,from_y,to_x,to_y,abs_dx,abs_dy,euclid,manhattan,same_tier,from_storage,to_storage,from_queue,to_queue,from_degree,to_degree,path_found,path_hops,path_distance,path_turns,path_segments,eta_sec
bot_to_pod,40,1,initial_bots,0,16,217,245,20,0,0,0,18.5,9.5,18.5,11.5,0,2,2,2,1,0,1,0,0,3,4,1,2,2,0,1,3.4534271247461903
pod_to_station_queue,40,2,initial_bots,0,16,245,16,20,0,1,-1,18.5,11.5,1.5,3.5,17,8,18.788294228055936,25,1,1,0,0,1,4,1,1,31,31,3,4,28.370093791412856
bot_to_pod,41,1,initial_bots,0,24,217,245,20,1,0,0,18.5,9.5,18.5,11.5,0,2,2,2,1,0,1,0,0,3,4,1,2,2,0,1,3.4534271247461903
pod_to_station_queue,41,2,initial_bots,0,24,245,24,20,1,1,-1,18.5,11.5,1.5,9.5,17,2,17.11724276862369,19,1,1,0,0,1,4,1,1,25,25,3,4,24.370093791412856
bot_to_pod,42,1,initial_bots,0,16,217,263,21,0,0,0,18.5,9.5,8.5,13.5,10,4,10.770329614269007,14,1,0,1,0,0,3,4,1,14,14,1,2,14.208333333333336
pod_to_station_queue,42,2,initial_bots,0,16,263,16,21,0,1,-1,8.5,13.5,1.5,3.5,7,10,12.206555615733702,17,1,1,0,0,1,4,1,1,23,23,4,5,24.995093791412856
bot_to_pod,43,1,initial_bots,0,24,217,263,21,1,0,0,18.5,9.5,8.5,13.5,10,4,10.770329614269007,14,1,0,1,0,0,3,4,1,14,14,1,2,14.208333333333336
pod_to_station_queue,43,2,initial_bots,0,24,263,24,21,1,1,-1,8.5,13.5,1.5,9.5,7,4,8.0622577482985491,11,1,1,0,0,1,4,1,1,17,17,4,5,21.161760458079524
bot_to_pod,44,1,initial_bots,0,16,217,284,22,0,0,0,18.5,9.5,15.5,14.5,3,5,5.8309518948453007,8,1,0,1,0,0,3,4,1,8,8,1,2,10.208333333333332
pod_to_station_queue,44,2,initial_bots,0,16,284,16,22,0,1,-1,15.5,14.5,1.5,3.5,14,11,17.804493814764857,25,1,1,0,0,1,4,1,1,25,25,2,3,22.25
bot_to_pod,45,1,initial_bots,0,24,217,284,22,1,0,0,18.5,9.5,15.5,14.5,3,5,5.8309518948453007,8,1,0,1,0,0,3,4,1,8,8,1,2,10.208333333333332
pod_to_station_queue,45,2,initial_bots,0,24,284,24,22,1,1,-1,15.5,14.5,1.5,9.5,14,5,14.866068747318506,19,1,1,0,0,1,4,1,1,19,19,2,3,18.25
bot_to_pod,46,1,initial_bots,0,16,217,97,23,0,0,0,18.5,9.5,10.5,1.5,8,8,11.313708498984761,16,1,0,1,0,0,3,4,1,16,16,1,2,15.541666666666668
pod_to_station_queue,46,2,initial_bots,0,16,97,16,23,0,1,-1,10.5,1.5,1.5,3.5,9,2,9.2195444572928871,11,1,1,0,0,1,4,1,1,11,11,2,3,12.911760458079524
bot_to_pod,47,1,initial_bots,0,24,217,97,23,1,0,0,18.5,9.5,10.5,1.5,8,8,11.313708498984761,16,1,0,1,0,0,3,4,1,16,16,1,2,15.541666666666668
pod_to_station_queue,47,2,initial_bots,0,24,97,24,23,1,1,-1,10.5,1.5,1.5,9.5,9,8,12.041594578792296,17,1,1,0,0,1,4,1,1,17,17,2,3,16.916666666666668
bot_to_pod,48,1,initial_bots,0,16,217,228,24,0,0,0,18.5,9.5,15.5,10.5,3,1,3.1622776601683795,4,1,0,1,0,0,3,4,1,4,4,1,2,6.75
pod_to_station_queue,48,2,initial_bots,0,16,228,16,24,0,1,-1,15.5,10.5,1.5,3.5,14,7,15.652475842498529,21,1,1,0,0,1,4,1,1,21,21,2,3,19.583333333333336
bot_to_pod,49,1,initial_bots,0,24,217,228,24,1,0,0,18.5,9.5,15.5,10.5,3,1,3.1622776601683795,4,1,0,1,0,0,3,4,1,4,4,1,2,6.75
pod_to_station_queue,49,2,initial_bots,0,24,228,24,24,1,1,-1,15.5,10.5,1.5,9.5,14,1,14.035668847618199,15,1,1,0,0,1,4,1,1,15,15,1,2,13.458333333333332
bot_to_pod,50,1,initial_bots,0,16,217,188,25,0,0,0,18.5,9.5,17.5,7.5,1,2,2.2360679774997898,3,1,0,1,0,0,3,4,1,3,3,1,2,6.7034271247461898
pod_to_station_queue,50,2,initial_bots,0,16,188,16,25,0,1,-1,17.5,7.5,1.5,3.5,16,4,16.492422502470642,20,1,1,0,0,1,4,1,1,26,26,3,4,25.041666666666664
bot_to_pod,51,1,initial_bots,0,24,217,188,25,1,0,0,18.5,9.5,17.5,7.5,1,2,2.2360679774997898,3,1,0,1,0,0,3,4,1,3,3,1,2,6.7034271247461898
