#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
3120;51;53;2;2;0/2860.36,1/2621.02;0/59.47,1/68.18;0/3120,1/3120;0/3120,1/3120;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/10;0/3,1/2;0/5,1/5;0/18,1/33;0/27,1/26;0/26,1/50;0/307,1/306
3180;51;54;2;2;0/2920.36,1/2681.02;0/59.87,1/68.62;0/3180,1/3180;0/3180,1/3180;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/9;0/3,1/2;0/5,1/5;0/18,1/33;0/28,1/26;0/26,1/50;0/313,1/312
3240;51;55;2;2;0/2980.36,1/2741.02;0/60.22,1/69.02;0/3240,1/3240;0/3240,1/3240;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/7;0/3,1/2;0/5,1/5;0/18,1/33;0/28,1/27;0/26,1/50;0/318,1/318
3300;51;56;2;2;0/3040.36,1/2801.02;0/60.58,1/69.47;0/3300,1/3300;0/3300,1/3300;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/6;0/3,1/2;0/5,1/5;0/18,1/33;0/28,1/28;0/26,1/50;0/324,1/324
3360;51;58;2;2;0/3100.36,1/2861.02;0/61.02,1/69.96;0/3360,1/3360;0/3360,1/3360;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/9;0/3,1/2;0/5,1/5;0/18,1/33;0/29,1/29;0/26,1/50;0/330,1/330
3420;51;58;2;2;0/3160.36,1/2921.02;0/61.47,1/70.31;0/3420,1/3420;0/3420,1/3420;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/9;0/3,1/2;0/5,1/5;0/18,1/33;0/29,1/29;0/26,1/50;0/336,1/335
3480;51;59;2;2;0/3220.36,1/2981.02;0/61.91,1/70.8;0/3480,1/3480;0/3480,1/3480;0/0,1/8;0/0,1/0;0/3,1/12;0/11,1/8;0/3,1/2;0/5,1/5;0/18,1/33;0/30,1/29;0/26,1/50;0/342,1/341
3540;56;61;2;2;0/3250.36,1/3011.51;0/62.31,1/72.36;0/3540,1/3540;0/3540,1/3540;0/0,1/6;0/0,1/0;0/0,1/9;0/11,1/9;0/3,1/2;0/5,1/5;0/21,1/35;0/31,1/30;0/29,1/53;0/348,1/347
3600;57;63;2;2;0/3310.36,1/3041.02;0/62.71,1/72.8;0/3600,1/3600;0/3600,1/3600;0/0,1/5;0/0,1/0;0/0,1/6;0/8,1/10;0/3,1/2;0/5,1/5;0/21,1/36;0/32,1/31;0/29,1/56;0/354,1/353
3660;59;63;2;2;0/3370.36,1/3081.02;0/63.11,1/73.2;0/3660,1/3660;0/3660,1/3660;0/0,1/3;0/0,1/0;0/0,1/4;0/7,1/12;0/3,1/2;0/5,1/5;0/21,1/38;0/32,1/31;0/29,1/58;0/360,1/359
