idx;bot_id;task_id;trip_id;src_id;dest_id;path_nodes;path_len_m;expected_sec;actual_sec;gap_sec;abs_err_sec;rel_err_pct;stop_go_count;queue_stop_go_count;conflict_wait_sec
1556;18;3014660;11;1280;184;59;58;50.5;63.0597976830977;12.5597976830977;12.5597976830977;24.8708865011836;0;0;8.5902597954082
1557;27;14024875;44;928;0;23;22;18;23.6453278508998;5.64532785089978;5.64532785089978;31.3629325049988;0;0;0.549999999986539
1558;32;12281497;46;1482;88;68;67;57.1200937914129;53.8113251790273;-3.30876861238552;3.30876861238552;5.79265262495585;1;0;3.79982680306239
1559;9;56805778;43;1139;176;34;33;28.0833333333333;28.1638888889011;0.0805555555677238;0.0805555555677238;0.286844708253022;0;0;0.377683986369448
1560;12;18579096;10;1264;72;87;86;65.5416666666667;68.6914623923822;3.14979572571551;3.14979572571551;4.80579131704845;0;0;1.105642154007
1561;25;22087593;10;2270;16;50;49;44.4950937914129;48.1816996553953;3.68660586398242;3.68660586398242;8.28542104274405;0;0;1.37787156918785
1562;7;27131943;13;558;112;83;82;62.2450937914129;74.2583405262849;12.013246734872;12.013246734872;19.299909443673;0;0;4.46037516567412
1563;41;51430708;47;1073;56;89;88;69.8725468957064;74.0147133840401;4.14216648833366;4.14216648833366;5.92817447246679;0;0;2.08137809943764
1564;20;14061274;10;2655;104;83;82;62.8725468957064;106.654357337773;43.7818104420666;43.7818104420666;69.6358149999749;0;0;35.4616666666698
1565;35;221115;14;1735;136;35;34;29.625;30.0665800682036;0.441580068203621;0.441580068203621;1.49056563106707;0;0;0.177777777775191
1566;22;28597359;48;1161;88;68;67;52.25;55.27578846902;3.02578846901998;3.02578846901998;5.79098271582771;0;0;2.24565653989885
1567;16;1990042;46;2121;104;55;54;43.5833333333333;45.435368601733;1.85203526839965;1.85203526839965;4.2494117056971;0;0;0.697871569171184
1568;6;21406185;47;1144;184;45;44;39.0367604580795;41.2583442653813;2.22158380730179;2.22158380730179;5.69100453324626;0;0;1.20269117931821
1569;2;40460186;50;2710;120;71;70;56.3700937914129;63.1386344544098;6.76854066299698;6.76854066299698;12.007325529815;0;0;5.25212843080953
1570;3;9405262;13;2038;144;23;22;22.875;22.0789826802829;-0.796017319717066;0.796017319717066;3.47985713537515;0;0;0.222222222218988
1571;21;12686984;44;1962;0;29;28;23.5;28.3921692210788;4.8921692210788;4.8921692210788;20.8177413662928;0;0;0.177777777775191
1572;33;64570610;13;1525;32;66;65;46.6666666666667;60.1922294151573;13.5255627484906;13.5255627484906;28.9833487467656;0;0;9.8866738596189
1573;17;41489961;50;2277;152;65;64;50.875;56.1462120954511;5.27121209545112;5.27121209545112;10.3611048559236;0;0;4.03989901565728
1574;34;59115013;47;2624;48;74;73;61.1200937914129;77.9237977452703;16.8037039538575;16.8037039538575;27.4929289395468;1;0;9.64296536058646
1575;10;17538497;51;2672;136;25;24;21.6225468957064;26.3511701181706;4.72862322246413;4.72862322246413;21.8689465458072;1;0;3.02898268028366
1576;11;44011254;47;1671;72;56;55;45.7475468957064;52.589813860297;6.84226696459058;6.84226696459058;14.9565767541358;0;0;1.67721502926906
1577;30;31314047;46;2254;0;64;63;48.0833333333333;57.0449999999928;8.96166666665947;8.96166666665947;18.6377816291011;2;0;3.84815294338659
1578;36;58593134;44;1959;160;66;65;49.4166666666667;61.7731835625709;12.3565168959042;12.3565168959042;25.0047559444943;2;0;3.87463922019379
1579;38;22105363;12;1659;144;28;27;25.5833333333333;32.0314025563421;6.44806922300874;6.44806922300874;25.2041793733241;0;0;0.543795097473776
1580;32;36423072;47;2530;88;28;27;27.0784271247462;26.7648342626217;-0.31359286212453;0.31359286212453;1.15809112796639;0;0;0.222222222218988
1581;39;51758747;50;1280;40;59;58;45.625;47.3055160793701;1.68051607937014;1.68051607937014;3.68332291368797;0;0;1.0989898732314
1582;37;37196636;47;2503;80;51;50;39.4166666666667;41.3444444444394;1.92777777777276;1.92777777777276;4.89076814656937;0;0;0.758333333331393
1583;13;8560429;46;1123;176;83;82;61.625;66.7990764716906;5.17407647169057;5.17407647169057;8.39606729686096;0;0;1.14536797274195
1584;15;42288863;12;2472;0;39;38;32.9166666666667;38.2490969415085;5.3324302748418;5.3324302748418;16.1997881767346;0;0;2.8222222222139
1585;40;45113228;47;1266;16;69;68;48.0416666666667;65.8478826013979;17.8062159347313;17.8062159347313;37.0641094912013;0;0;0.66111111110331
1586;31;66537812;11;2694;48;61;60;47.5833333333333;52.7333333333263;5.14999999999296;5.14999999999296;10.8231173379887;1;0;3.07121209544675
1587;43;24905097;45;1314;72;37;36;31.5833333333333;35.6586173410014;4.07528400766812;4.07528400766812;12.903273902907;0;0;4.76010098433835
1588;24;46156242;50;2865;104;43;42;34.9583333333333;35.961507445023;1.00317411168968;1.00317411168968;2.86962797146035;0;0;0.222222222218988
1589;0;17951700;46;897;168;58;57;49.8284271247462;51.0966594567071;1.26823233196093;1.26823233196093;2.54519840408748;0;0;0.977222222216369
1590;29;12753000;52;1305;120;62;61;51.875;45.0654561066203;-6.80954389337967;6.80954389337967;13.1268316016957;0;0;0.311111111106584
1591;19;18156804;11;1845;88;79;78;61.0808802290398;63.7146635500667;2.63378332102693;2.63378332102693;4.31196032400127;0;0;1.26666666666279
1592;28;54071067;51;560;40;88;87;69.8284271247462;72.2163058868609;2.38787876211474;2.38787876211474;3.41963704530946;0;0;1.23953823585907
1593;23;61969401;51;1132;144;80;79;59.625;75.4999999999873;15.8749999999873;15.8749999999873;26.6247379454713;2;0;8.5704545712033
1594;14;41122701;46;521;160;58;57;43.4583333333333;54.194444444438;10.7361111111046;10.7361111111046;24.7043783956387;1;0;3.01406927878634
1595;18;57624043;12;762;184;51;50;43.0367604580795;47.471753265143;4.43499280706346;4.43499280706346;10.3051269655471;1;0;3.11287876210918
1596;42;39053483;13;2037;16;78;77;59.5416666666667;94.923724185528;35.3820575188614;35.3820575188614;59.4240294228602;2;0;21.6093434600843
1597;17;26899882;51;2416;152;15;14;14.7916666666667;14.5591354222361;-0.2325312444306;0.2325312444306;1.57204221586885;0;0;0.133333333331393
1598;26;59372194;53;2926;136;92;91;68.25;71.8805555555537;3.63055555555367;3.63055555555367;5.31949531949256;0;0;1.73759019495992
1599;44;5569110;11;882;56;85;84;63.5833333333333;68.4182967585239;4.83496342519053;4.83496342519053;7.60413644853032;0;0;2.23660164698413
1600;5;53161418;46;1517;104;79;78;58.9558802290398;61.3290764717131;2.37319624267329;2.37319624267329;4.02537666040024;0;0;1.0243506530278
1601;27;33057913;45;1538;0;63;62;46.7916666666667;53.8566516673454;7.06498500067876;7.06498500067876;15.0988103309252;0;0;1.18055555555111
1602;8;58552288;46;1728;16;74;73;60.4950937914129;65.1160897173777;4.62099592596483;4.62099592596483;7.63862924470873;0;0;2.85360751464759
1603;33;35621369;14;1516;40;20;19;22.3725468957064;26.5735209161503;4.20097402044387;4.20097402044387;18.7773615584647;0;0;4.40963202726016
1604;41;52156870;48;2097;48;77;76;58.8700937914129;69.2030663449332;10.3329725535203;10.3329725535203;17.552159149146;0;0;3.53333333333467
1605;3;4863836;14;1322;152;85;84;65.0833333333333;69.0607503312949;3.97741699796158;3.97741699796158;6.11126811466569;0;0;1.51796536058646
1606;22;22910047;49;1191;88;38;37;32.2475468957064;32.5138544901129;0.266307594406435;0.266307594406435;0.825822799072794;0;0;1.14426405452286
