decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec,lambda,mu,delta,rho,closedLines,valuedNotBoundLines,completedOrders
164,1553.60000000074,65,1,94,1,0,1,2,0.0010066,15.2260009853359,20.397095659601,1,11.0310823465189,1,0,1
165,1557.33333333407,64,1,95,0,0,1,2,0.0009991,15.2179534260702,20.3540127073689,1,11.0394645192509,2,0,1
166,1577.37777777853,64,1,95,1,0,1,6,0.0020037,15.3904946130544,20.648116996396,1,11.1182168442132,2,0,1
167,1587.42222222298,64,1,93,0,0,1,4,0.0009995,15.4229931192661,20.7543981481483,1,11.1701411960134,2,0,1
168,1603.64444444522,65,1,91,0,0,1,3,0.0010001,15.5220520657969,20.9500089231615,1,11.2330639949846,2,0,1
169,1623.68888888968,65,1,93,0,0,1,4,0.0010054,15.6516053379769,21.1869291770175,1,11.2813518994509,2,0,1
170,1657.46666666748,67,1,95,1,0,1,1,0.0030006,15.8855144779266,21.5657893518519,1,11.2963658509701,1,0,1
171,1663.73333333416,67,1,93,1,0,1,4,0.0009998,15.8508757245907,21.4846207110416,1,11.2862248039016,3,0,1
172,1677.51111111194,67,1,93,0,0,1,2,0.0009991,15.9279702390622,21.7459713443484,1,11.3842545909285,1,0,1
173,1693.77777777862,69,1,95,0,0,1,3,0.0009974,16.0493037192032,21.8767294743901,1,11.4139458127253,2,0,1
174,1697.55555555641,68,1,95,0,0,1,2,0.0010002,15.9469336219337,21.7972879684419,1,11.4047729618163,1,0,1
175,1703.82222222308,67,1,95,1,0,1,1,0.0019714,15.9640049954769,21.786171523239,1,11.4310159226871,1,0,1
176,1707.60000000086,67,1,94,0,0,1,3,0,15.9508412977534,21.73418726536,1,11.4355262226971,2,0,1
177,1727.64444444532,67,1,96,1,0,1,4,0.0020338,15.9651593117941,21.812863013207,1,11.4036852227101,2,0,1
178,1753.86666666756,69,1,96,0,0,1,1,0.0010047,16.0510481129864,21.9890081085421,1,11.3895161759814,1,0,1
179,1763.91111111201,69,1,96,0,0,1,1,0.001001,16.0773459383754,21.9908524904215,1,11.3881200396826,1,0,1
180,1767.68888888979,68,1,96,0,0,1,3,0.0010009,16.0574965132497,21.9299523809525,1,11.3879574678537,3,0,1
181,1783.95555555647,68,1,96,1,0,1,3,0.0029993,15.9376032898429,21.914204523534,1,11.3438235180646,2,0,1
182,1817.73333333428,70,1,96,0,0,1,1,0.0020002,16.0563284096084,22.1341476381042,1,11.2903289105027,1,0,1
183,1834.00000000096,71,1,97,0,0,1,2,0.0010011,16.1082911312673,22.1715243098904,1,11.2758037918871,1,0,1
184,1837.77777777874,70,1,96,0,0,1,1,0.0019971,16.0528455284553,22.0614525139665,1,11.2507122507122,1,0,1
185,1854.04444444542,70,1,97,0,0,1,4,0.0010003,16.060205802969,22.0381712962964,1,11.2058498116761,2,0,1
186,1857.8222222232,70,1,96,0,0,1,3,0.0010004,15.9411144578313,21.9300414364641,1,11.1812323943662,1,0,1
187,1864.08888888987,69,1,96,0,0,1,3,0.002002,15.9160340895062,21.8626841888821,1,11.1769902313948,1,0,1
188,1867.86666666765,69,1,97,1,0,1,2,0.0029978,15.8565737051793,21.7486338797814,1,11.1484593837535,2,0,1
189,1874.13333333432,68,1,95,1,0,1,2,0.0029997,15.7673263096321,21.6800736757441,1,11.1428311629523,2,0,1
190,1884.17777777878,68,1,95,0,0,1,1,0.0010007,15.7504817840717,21.7101235402069,1,11.1565912637174,1,0,1
191,1897.91111111212,68,1,95,0,0,1,3,0.0010074,15.8969151626399,21.8796251700851,1,11.2110476078122,1,0,1
192,1904.22222222324,68,1,95,0,0,1,2,0.0020006,15.9819433635971,21.9644890077244,1,11.2839545177046,1,0,1
