parent,units,children,firstChildDone,lastChildDone,consolidated,consolidationWait,placed,submitted
207,2,2,825.6444444446,4687.022222218,4687.022222218,3861.3777777734,788.488888889015,795.511111111243
39,3,2,283.022222222239,4697.0666666625,4697.0666666625,4414.04444444026,0,212.711111111134
565,2,2,3593.19999999445,4746.66666666279,4746.66666666279,1153.46666666834,3464.17777777279,3502.53333332818
576,8,3,3884.7111111043,4776.75555555186,4776.75555555186,892.044444447556,3542.84444443911,3794.13333332692
681,5,2,4517.24444443921,4797.33333332976,4797.33333332976,280.088888890545,4366.84444443833,4376.88888888283
725,3,2,4727.19999999601,4816.84444444099,4816.84444444099,89.6444444449744,4676.44444444016,4707.111111107
79,3,3,242.800000000028,4846.93333333005,4846.93333333005,4604.13333333003,0,162.533333333349
552,2,2,3522.71111110587,4964.57777777519,4964.57777777519,1441.86666666932,3343.42222221775,3432.04444443959
551,3,2,4796.79999999642,4967.19999999743,4967.19999999743,170.400000001007,3341.42222221776,4696.53333332916
673,3,2,4917.55555555269,4997.2888888865,4997.2888888865,79.7333333338047,4315.24444443802,4797.33333332976
685,4,2,4457.06666666108,5024.71111110888,5024.71111110888,567.6444444478,4385.42222221621,4426.97777777201
720,4,2,4827.42222221883,5027.33333333112,5027.33333333112,199.911111112293,4646.35555555109,4717.15555555151
94,7,4,705.20000000006,5067.3777777758,5067.3777777758,4362.17777777574,0,594.933333333305
615,2,2,3945.15555554849,5104.97777777602,5104.97777777602,1159.82222222753,3854.53333332666,3904.84444443755
643,4,2,4226.39999999305,5135.02222222064,5135.02222222064,908.622222227594,4045.68888888139,4106.04444443678
765,5,2,5107.51111110937,5165.06666666527,5165.06666666527,57.5555555558958,4957.15555555293,4977.24444444193
732,5,2,4907.51111110819,5177.73333333201,5177.73333333201,270.22222222382,4697.0666666625,4777.2888888852
476,2,2,3955.24444443733,5185.15555555427,5185.15555555427,1229.91111111694,2739.37777777592,3935.06666665964
150,2,2,4546.66666666161,5189.91111110986,5189.91111110986,643.244444448247,346.622222222208,4516.5333333281
171,2,2,3804.22222221576,5199.95555555436,5199.95555555436,1395.7333333386,517.733333333244,3685.68888888294
482,3,2,3250.84444444038,5205.19999999884,5205.19999999884,1954.35555555846,2759.55555555361,3200.48888888504
444,3,2,3613.37777777214,5219.99999999892,5219.99999999892,1606.62222222678,2517.73333333243,3522.71111110587
601,3,2,3924.9777777708,5310.22222222168,5310.22222222168,1385.24444445088,3733.77777777162,3814.31111110461
600,4,3,4316.7111111047,5315.46666666616,5315.46666666616,998.75555556146,3724.08888888278,4286.57777777118
589,2,2,4025.82222221481,5320.26666666618,5320.26666666618,1294.44444445138,3675.5999999941,3955.24444443733
760,2,2,5084.88888888702,5330.31111111069,5330.31111111069,245.422222223673,4917.55555555269,4974.6222222197
785,3,2,5147.64444444294,5350.3999999997,5350.3999999997,202.755555556754,5084.93333333146,5087.46666666481
823,5,2,5390.48888888882,5405.64444444447,5405.64444444447,15.1555555556452,5320.26666666618,5330.31111111069
449,2,2,3512.62222221702,5510.84444444509,5510.84444444509,1998.22222222807,2556.17777777671,3432.04444443959
15,5,2,2376.75555555526,5586.08888888998,5586.08888888998,3209.33333333471,0,2286.17777777788
666,3,2,4365.37777777165,5636.22222222361,5636.22222222361,1270.84444445196,4246.48888888206,4255.11111110433
307,3,2,3311.24444444012,5671.24444444604,5671.24444444604,2360.00000000592,1511.06666666737,3180.35555555179
763,7,2,5064.79999999801,5736.35555555753,5736.35555555753,671.555555559526,4947.11111110842,4964.57777777519
112,4,3,2014.4000000011,5831.73333333587,5831.73333333587,3817.33333333477,55.4666666666665,1964.26666666773
652,4,3,4236.44444443755,5866.66666666941,5866.66666666941,1630.22222223186,4176.22222221498,4176.26666665942
527,2,2,4306.66666666019,5886.75555555842,5886.75555555842,1580.08888889823,3142.13333332973,4226.39999999305
655,2,2,5245.28888888796,5906.80000000299,5906.80000000299,661.511111115022,4176.22222221498,5135.02222222064
740,5,2,4877.46666666357,5936.84444444761,5936.84444444761,1059.37777778404,4746.66666666279,4757.24444444063
351,4,3,3240.75555555153,5946.88888889211,5946.88888889211,2706.13333334058,1864.00000000098,3099.86666666325
754,4,2,5641.15555555697,5982.00000000343,5982.00000000343,340.844444446459,4897.06666666368,5556.04444444536
632,3,3,4186.26666665948,5992.04444444793,5992.04444444793,1805.77777778845,3995.37777777049,4136.13333332585
