decision,time,solved,pendingOrders,stationsWithCap,podsInModel,xps,children,fastPath,units,sumUs,objective,solveSec,partialOrders,partialOnlyNewTrips,odCount,odFired,sunkOrdersStar,sunkItemsStar,sunkUnitsFinal,newTripsFinal,solve1Sec,solve2Sec,icWhole,icPackOcc,icPackBudget,icProcUnits,icEpSum,icShortfall,icSgOpen,icGateForegone
73,618.044444444435,1,100,2,90,4,0,1,1,1,-69.0853658536585,0.007,0,0,0,0,0,0,1,0,0,0.0059701,0,17,-1,0,0,0,0,0
74,618.088888888879,1,100,1,88,2,0,0,0,1,0,0.0020031,0,0,0,0,0,0,0,0,0,0.0020031,0,17,-1,0,0,0,0,0
75,625.022222222218,1,100,1,88,2,0,0,0,2,0,0.0020001,0,0,0,0,0,0,0,0,0,0.0020001,0,17,-1,0,0,0,0,0
76,645.066666666679,1,100,1,88,2,0,0,0,2,0,0.0009989,0,0,0,0,0,0,0,0,0,0.0009989,0,17,-1,0,0,0,0,0
77,655.066666666687,1,100,1,87,2,1,2,4,0,-195.6,0.2111451,0,0,0,0,0,0,0,1,0,0.2111451,0,17,-1,0,0,0,1,0
78,658.088888888911,1,100,1,87,2,0,1,1,0,-69.0714285714286,0.004,0,0,0,0,0,0,1,0,0,0.004,0,17,-1,0,0,0,0,0
79,675.111111111147,1,100,1,87,2,0,1,1,0,-67.1111111111111,0.0029994,0,0,0,0,0,0,1,0,0,0.0029994,0,17,-1,0,0,0,1,0
80,678.133333333372,1,100,1,86,2,0,1,3,0,-82.1980769230769,0.1371149,0,0,0,0,0,0,2,1,0,0.1371149,0,17,-1,2,0,0,1,0
81,685.155555555599,1,100,1,87,2,0,1,1,0,-67.031746031746,0.0030385,0,0,0,0,0,0,1,0,0,0.0030385,0,17,-1,0,0,0,1,0
82,688.177777777824,1,100,1,87,2,0,1,2,0,-70.1052631578947,0.0040018,0,0,0,0,0,0,2,0,0,0.0040018,0,17,-1,2,0,0,1,0
83,698.222222222277,1,100,1,87,2,0,1,1,0,-70.0514705882353,0.0040048,0,0,0,0,0,0,1,0,0,0.0040048,0,17,-1,1,0,0,1,0
