decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec
1055,11764.7999999645,1,89,1,89,4,1,27.6062073978256,41.9022790859852,0.933962264150943,0.0276062073978256,25,1,11,1,1,2,-1054.71091656237,0.1365438
1056,11765.7333332978,1,86,1,89,4,1,27.5917336566919,41.8661488883997,0.934819897084048,0.0275917336566919,23,2,12,1,1,3,-1050.30212431321,0.1271555
1057,11794.9777777418,1,88,1,91,4,1,27.6615494889189,41.9853023430819,0.934075342465753,0.0276615494889189,24,1,11,1,1,2,-1033.1498717533,0.1530575
1058,11795.9111110752,1,87,1,91,5,1,27.6447610363653,41.9456611570568,0.934131736526946,0.0276447610363653,26,1,15,1,1,2,-1222.80075368458,0.2028281
1059,11816.0444444082,1,87,1,91,4,1,27.6419281577998,41.9272329270976,0.933390264730999,0.0276419281577998,24,1,13,1,1,2,-1091.65435017669,0.1607292
1060,11835.1999999635,1,86,1,88,3,1,27.6695647037963,41.9550359180959,0.934244235695986,0.0276695647037963,21,1,10,1,1,2,-909.448820510169,0.2080371
1061,11845.2888888522,1,85,1,87,4,1,27.6754655634274,41.9498920818422,0.934244235695986,0.0276754655634274,27,2,11,1,1,3,-1103.68940258156,0.2200402
1062,11855.377777741,1,85,1,86,5,0,27.6834785946061,41.9752448838412,0.932651321398124,0.0276834785946061,27,2,11,1,0,3,-1134.38375088198,0.0089975
1063,11856.2666666298,1,85,1,86,4,0,27.6529251703323,41.9420843380729,0.932651321398124,0.0276529251703323,18,1,10,1,0,2,-860.14551119038,0.0070013
1064,11866.3555555186,1,85,1,87,3,1,27.6609149248013,41.9401482930616,0.933503836317136,0.0276609149248013,21,1,10,1,1,2,-914.449392960134,0.1950497
1065,11895.5999999626,1,86,1,89,4,2,27.7111309138046,42.0435349065884,0.932765957446808,0.0277111309138046,37,3,13,1,2,6,-1436.77651653005,0.1374833
1066,11896.5333332959,1,86,1,88,3,1,27.659115975816,42.0049050084593,0.93214588634436,0.027659115975816,19,1,9,1,1,2,-822.038895677606,0.1925991
